collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
202163D083721,2021,63D083721,1,1,1,1,24,5,3,0,0,0,0,0,19,-1,-1,-1,0,0.15579,0.84421,-1
2021101078370,2021,101078370,1,1,3,1,12,3,2,5,1,0,0,0,0,2,E01033716,7,1,1,0,-1
2021543837821,2021,543837821,2,1,1,1,58,9,3,0,0,0,0,0,1,10,E01014410,-1,0,0.16686,0.83314,-1
2021221048427,2021,221048427,2,2,2,1,7,2,3,0,0,2,0,0,9,2,E01032470,3,1,0,1,-1
2021401112842,2021,401112842,2,2,1,1,36,7,3,0,0,0,0,0,9,4,E01015711,3,1,0,1,-1
2021501044245,2021,501044245,1,1,1,1,41,7,3,0,0,0,0,0,-1,1,E01015261,3,1,0,1,-1
202131A121821,2021,31A121821,1,1,3,2,45,7,3,5,3,0,0,0,0,5,E01027945,-1,0,0.14903,0.85097,-1
2021991113789,2021,991113789,1,1,3,1,80,11,2,1,9,0,0,0,0,5,-1,7,1,1,0,-1
2021041140391,2021,041140391,1,1,3,1,84,11,2,5,1,0,0,0,0,4,E01024936,7,1,1,0,-1
202131A018021,2021,31A018021,1,1,3,2,67,10,3,1,9,0,0,0,0,2,E01028223,-1,0,0.11679,0.88321,-1
2021461061505,2021,461061505,1,1,1,2,57,9,2,0,0,0,0,0,1,7,E01024636,6,1,1,0,-1
2021131046538,2021,131046538,2,1,1,1,47,8,3,0,0,0,0,0,9,9,E01011011,3,1,0,1,-1
2021141059950,2021,141059950,1,2,2,2,14,3,2,0,0,2,0,0,9,-1,-1,7,1,1,0,-1
2021201119147,2021,201119147,2,1,1,1,69,10,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2021320602720,2021,320602720,1,2,1,1,24,5,3,0,0,0,0,0,9,1,E01013456,-1,0,0.05449,0.94551,-1
2021451101967,2021,451101967,1,1,1,1,50,8,3,0,0,0,0,0,9,9,E01031582,3,1,0,1,-1
2021461113011,2021,461113011,1,1,2,1,10,2,3,0,0,-1,0,0,9,3,E01016045,3,1,0,1,-1
2021010340716,2021,010340716,1,1,1,1,26,6,3,0,0,0,0,0,-1,2,E01003968,-1,0,0,1,-1
2021320039712,2021,320039712,2,2,1,1,58,9,3,0,0,0,0,0,1,3,E01026110,-1,0,0.15164,0.84836,-1
2021010339897,2021,010339897,1,1,1,1,27,6,3,0,0,0,0,0,3,7,E01002127,-1,0,0,1,-1
2021010318174,2021,010318174,1,1,1,1,23,5,2,0,0,0,0,0,9,4,E01002455,-1,0,1,0,-1
2021070069421,2021,070069421,2,1,1,1,19,4,2,0,0,0,0,0,9,10,E01018505,-1,0,1,0,-1
2021401056711,2021,401056711,3,2,1,1,40,7,3,0,0,0,0,0,9,6,E01015775,3,1,0,1,-1
2021421066866,2021,421066866,2,1,1,1,25,5,3,0,0,0,0,0,9,5,E01021838,3,1,0,1,-1
2021320617035,2021,320617035,1,1,3,1,43,7,2,5,3,0,0,0,0,2,E01026175,-1,0,1,0,-1
2021501018862,2021,501018862,1,1,1,2,24,5,3,0,0,0,0,0,9,3,E01015085,3,1,0,1,-1
202134NNC3701,2021,34NNC3701,1,5,2,1,29,6,3,0,0,1,0,0,9,10,E01027324,-1,0,0.18899,0.81101,-1
2021471023430,2021,471023430,2,1,2,2,47,8,2,0,0,1,0,0,9,7,E01022938,7,1,1,0,-1
2021161016957,2021,161016957,1,1,3,1,32,6,3,10,1,0,0,0,0,-1,-1,3,1,0,1,-1
2021610000521,2021,610000521,1,1,3,2,2,1,3,5,4,0,0,0,0,-1,-1,-1,0,0.17187,0.82813,-1
2021451041280,2021,451041280,1,1,1,1,47,8,3,0,0,0,0,0,1,7,E01001922,3,1,0,1,-1
2021101113948,2021,101113948,2,3,2,2,11,3,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2021421117469,2021,421117469,1,3,2,2,52,8,2,0,0,2,0,0,9,3,E01021806,7,1,1,0,-1
2021430581660,2021,430581660,2,3,2,2,30,6,3,0,0,1,0,0,9,2,E01005580,-1,0,0.01599,0.98401,-1
2021451035656,2021,451035656,2,3,1,2,42,7,3,0,0,0,0,0,9,9,E01031000,3,1,0,1,-1
2021010314811,2021,010314811,1,1,2,2,80,11,3,0,0,0,3,0,11,4,E01003053,-1,0,0,1,-1
2021430008815,2021,430008815,2,1,2,2,43,7,3,0,0,0,4,0,11,5,E01028538,-1,0,0.00211,0.99789,-1
2021991040155,2021,991040155,1,2,1,1,45,7,3,0,0,0,0,0,1,-1,-1,3,1,0,1,-1
2021161046245,2021,161046245,2,1,1,1,35,6,3,0,0,0,0,0,9,3,E01026415,3,1,0,1,-1
2021320615013,2021,320615013,2,1,2,2,66,10,3,0,0,1,0,0,9,9,E01026226,-1,0,0.04182,0.95818,-1
2021471077484,2021,471077484,2,1,1,2,58,9,3,0,0,0,0,0,90,6,E01016938,3,1,0,1,-1
2021070819125,2021,070819125,1,1,1,1,43,7,3,0,0,0,0,0,1,7,E01012418,-1,0,0.11879,0.88121,-1
2021201046426,2021,201046426,1,1,3,2,12,3,3,4,2,0,0,2,0,9,E01009420,3,1,0,1,-1
2021010293808,2021,010293808,1,1,1,1,28,6,3,0,0,0,0,0,1,3,E01033583,-1,0,0,1,-1
